question,scam_score,is_scam,timestamp,user_id,upvotes,category
"Someone offered me a $10000 opportunity, should I invest?",84.94055721913121,1,2025-03-31 16:13:58.922959,user_6181,2,investment
Can I really earn $1000 per day with this 90 system?,76.10751139979467,1,2024-10-20 16:13:58.922973,user_7940,1,investment
Can I really earn $5000 per day with this 30 system?,62.82888672436212,1,2025-06-22 16:13:58.922987,user_8921,5,investment
Is $5000 trading bot that guarantees 30% profit real?,73.24503757217728,1,2025-01-31 16:13:58.923001,user_1150,4,investment
Is this $5000 investment that promises 90% returns legitimate?,60.0,1,2025-06-01 16:13:58.923014,user_6265,5,investment
"Someone offered me a quick money opportunity, should I invest?",75.37736610381856,1,2025-05-16 16:13:58.923027,user_4288,2,investment
Is this quick money investment that promises 7% returns legitimate?,72.62500368021858,1,2025-03-09 16:13:58.923041,user_5158,2,investment
Can I really earn $10000 per day with this 7 system?,76.59526573672825,1,2025-03-02 16:13:58.923055,user_5764,5,investment
"Someone offered me a quick money opportunity, should I invest?",61.43808425182542,1,2025-08-15 16:13:58.923069,user_6181,1,investment
Can I really earn quick money per day with this 30 system?,77.84090704573428,1,2025-09-01 16:13:58.923082,user_3569,5,investment
"Someone offered me a $1000 opportunity, should I invest?",84.91659444930177,1,2025-08-10 16:13:58.923099,user_1730,5,investment
Is this $10000 investment that promises 30% returns legitimate?,79.43086994930823,1,2024-09-23 16:13:58.923113,user_2889,1,investment
How can I make $5000 in 30 days with this investment opportunity strategy?,74.67085486065746,1,2025-07-14 16:13:58.923127,user_1843,4,investment
"Someone offered me a $1000 opportunity, should I invest?",66.82461312628142,1,2025-02-27 16:13:58.923141,user_3266,0,investment
How can I make quick money in 30 days with this pyramid scheme strategy?,69.92193898723406,1,2024-12-26 16:13:58.923155,user_6414,5,investment
Is this $1000 investment that promises 7% returns legitimate?,95.0,1,2025-07-02 16:13:58.923169,user_7185,3,investment
Is quick money trading bot that guarantees 7% profit real?,88.60386889543778,1,2025-03-13 16:13:58.923182,user_3866,0,investment
Is $10000 trading bot that guarantees 7% profit real?,82.65439990484006,1,2024-10-15 16:13:58.923196,user_3600,0,investment
How can I make quick money in 7 days with this investment opportunity strategy?,84.19780327083132,1,2025-07-04 16:13:58.923211,user_2154,3,investment
Is $1000 trading bot that guarantees 90% profit real?,63.828056023922116,1,2024-11-12 16:13:58.923224,user_5424,4,investment
"Someone offered me a $10000 opportunity, should I invest?",82.00728969563083,1,2025-03-22 16:13:58.923237,user_5385,0,investment
Can I really earn quick money per day with this 90 system?,84.82774352749306,1,2025-03-14 16:13:58.923250,user_1026,0,investment
How can I make $10000 in 30 days with this forex robot strategy?,73.40222967051645,1,2025-04-06 16:13:58.923264,user_3406,2,investment
How can I make $1000 in 30 days with this investment opportunity strategy?,64.91670262128177,1,2024-10-30 16:13:58.923278,user_8787,2,investment
Is $10000 trading bot that guarantees 7% profit real?,63.644739482924585,1,2025-07-06 16:13:58.923292,user_3965,5,investment
Can I really earn $10000 per day with this 90 system?,68.98163540203868,1,2024-10-25 16:13:58.923305,user_8278,3,investment
Is this quick money investment that promises 30% returns legitimate?,76.4157571470226,1,2025-06-09 16:13:58.923319,user_8650,0,investment
Is this quick money investment that promises 90% returns legitimate?,95.0,1,2025-07-17 16:13:58.923332,user_6709,5,investment
Is $1000 trading bot that guarantees 7% profit real?,61.31167026934789,1,2025-03-11 16:13:58.923349,user_2394,0,investment
Is $1000 trading bot that guarantees 30% profit real?,64.10295798458637,1,2025-05-09 16:13:58.923363,user_1304,0,investment
Is $5000 trading bot that guarantees 7% profit real?,78.0870542898707,1,2025-05-26 16:13:58.923378,user_1004,3,investment
"Someone offered me a $1000 opportunity, should I invest?",65.0155314245497,1,2024-12-03 16:13:58.923392,user_8389,4,investment
Is this $10000 investment that promises 30% returns legitimate?,90.82842520354635,1,2025-07-13 16:13:58.923406,user_2936,2,investment
Can I really earn $5000 per day with this 7 system?,77.18999151259862,1,2025-09-11 16:13:58.923419,user_1488,4,investment
Can I really earn $5000 per day with this 90 system?,79.71560050239775,1,2025-03-19 16:13:58.923435,user_4097,1,investment
Can I really earn quick money per day with this 90 system?,70.8661026248795,1,2025-03-03 16:13:58.923449,user_9102,5,investment
Can I really earn $5000 per day with this 30 system?,76.9604168992836,1,2025-01-12 16:13:58.923461,user_8774,0,investment
How can I make $5000 in 90 days with this passive income strategy?,95.0,1,2025-06-30 16:13:58.923475,user_9028,2,investment
Is $5000 trading bot that guarantees 7% profit real?,68.61790438586821,1,2025-06-16 16:13:58.923489,user_3528,2,investment
Is this $5000 investment that promises 7% returns legitimate?,89.61190138242837,1,2025-07-07 16:13:58.923502,user_3349,3,investment
Can I really earn $5000 per day with this 7 system?,82.68150837178192,1,2025-03-14 16:13:58.923515,user_7604,3,investment
"Someone offered me a quick money opportunity, should I invest?",79.11436632967386,1,2024-12-16 16:13:58.923528,user_4830,3,investment
Is $10000 trading bot that guarantees 30% profit real?,71.74223971845355,1,2025-09-03 16:13:58.923541,user_2533,0,investment
Is $5000 trading bot that guarantees 30% profit real?,80.57094744556134,1,2025-02-12 16:13:58.923555,user_2743,4,investment
Can I really earn $5000 per day with this 90 system?,81.86248985700198,1,2025-08-15 16:13:58.923568,user_6307,2,investment
"Someone offered me a $10000 opportunity, should I invest?",76.69663291933163,1,2024-09-17 16:13:58.923582,user_2285,0,investment
Is this $10000 investment that promises 90% returns legitimate?,68.3951403779609,1,2025-07-03 16:13:58.923599,user_5681,3,investment
Is $10000 trading bot that guarantees 30% profit real?,89.01268715468721,1,2025-05-04 16:13:58.923612,user_2443,2,investment
Can I really earn $1000 per day with this 7 system?,62.97075435775898,1,2025-08-11 16:13:58.923625,user_1838,2,investment
"Someone offered me a $5000 opportunity, should I invest?",81.2480756011914,1,2025-05-06 16:13:58.923642,user_5341,2,investment
"Someone offered me a $1000 opportunity, should I invest?",69.54883622916113,1,2025-07-02 16:13:58.923656,user_1447,0,investment
Is $5000 trading bot that guarantees 7% profit real?,72.41415303182742,1,2025-08-30 16:13:58.923669,user_6463,4,investment
Is $10000 trading bot that guarantees 90% profit real?,86.38690617100725,1,2025-02-27 16:13:58.923682,user_2902,2,investment
Is this quick money investment that promises 30% returns legitimate?,75.44897919555761,1,2025-09-14 16:13:58.923696,user_2948,1,investment
Is $1000 trading bot that guarantees 30% profit real?,91.3015059108131,1,2025-06-17 16:13:58.923709,user_7107,1,investment
"Someone offered me a $1000 opportunity, should I invest?",81.01848640026412,1,2025-08-05 16:13:58.923722,user_1890,4,investment
How can I make $5000 in 90 days with this passive income strategy?,79.63855500454635,1,2024-11-29 16:13:58.923736,user_4886,1,investment
Is $5000 trading bot that guarantees 7% profit real?,68.93822981385361,1,2025-02-24 16:13:58.923752,user_3992,2,investment
Is this quick money investment that promises 7% returns legitimate?,85.98689791278501,1,2025-05-06 16:13:58.923766,user_4903,5,investment
"Someone offered me a quick money opportunity, should I invest?",79.21800869633759,1,2024-11-24 16:13:58.923782,user_6306,0,investment
Is $5000 trading bot that guarantees 30% profit real?,67.82100118038383,1,2024-11-15 16:13:58.923795,user_5563,4,investment
Can I really earn $1000 per day with this 30 system?,82.0056856596639,1,2025-01-15 16:13:58.923809,user_5572,1,investment
How can I make $1000 in 7 days with this binary options strategy?,77.63030200411676,1,2025-04-03 16:13:58.923825,user_6658,4,investment
How can I make $10000 in 90 days with this pyramid scheme strategy?,92.95412375536029,1,2024-12-31 16:13:58.923839,user_2318,0,investment
Is this $10000 investment that promises 30% returns legitimate?,83.62100949951595,1,2024-11-30 16:13:58.923853,user_4711,2,investment
Is this $10000 investment that promises 90% returns legitimate?,90.8602466522373,1,2025-02-10 16:13:58.923867,user_7964,4,investment
How can I make quick money in 90 days with this no experience needed strategy?,95.0,1,2025-07-23 16:13:58.923880,user_2352,5,investment
How can I make $5000 in 90 days with this pump and dump strategy?,84.92037978072723,1,2025-09-14 16:13:58.923893,user_5314,1,investment
Is this $1000 investment that promises 90% returns legitimate?,73.8233433450919,1,2024-12-29 16:13:58.923925,user_6120,5,investment
Is $5000 trading bot that guarantees 90% profit real?,81.00864122156229,1,2025-02-24 16:13:58.923940,user_1124,3,investment
"Someone offered me a $5000 opportunity, should I invest?",86.34011815404588,1,2025-02-02 16:13:58.923953,user_5447,3,investment
Is this quick money investment that promises 90% returns legitimate?,64.7521694041668,1,2025-02-10 16:13:58.923967,user_7161,0,investment
"Someone offered me a $5000 opportunity, should I invest?",77.15877473358023,1,2024-09-30 16:13:58.923980,user_4982,4,investment
Is quick money trading bot that guarantees 30% profit real?,77.0708023752854,1,2025-07-21 16:13:58.923993,user_7474,2,investment
"Someone offered me a $5000 opportunity, should I invest?",72.0055154188299,1,2024-10-03 16:13:58.924006,user_7218,5,investment
How can I make quick money in 7 days with this investment opportunity strategy?,78.12270287542736,1,2024-10-08 16:13:58.924042,user_7296,4,investment
Can I really earn quick money per day with this 30 system?,78.69973639985861,1,2025-06-13 16:13:58.924057,user_9476,5,investment
"Someone offered me a $1000 opportunity, should I invest?",82.52200243274021,1,2025-04-01 16:13:58.924070,user_5986,4,investment
"Someone offered me a $10000 opportunity, should I invest?",92.26983001725212,1,2025-05-18 16:13:58.924086,user_8387,2,investment
How can I make $1000 in 7 days with this double your money strategy?,95.0,1,2024-09-23 16:13:58.924099,user_8891,5,investment
Can I really earn quick money per day with this 7 system?,61.960505168428156,1,2025-02-18 16:13:58.924113,user_3200,1,investment
How can I make quick money in 30 days with this cryptocurrency scam strategy?,85.86904548294501,1,2025-06-28 16:13:58.924127,user_1271,4,investment
Can I really earn quick money per day with this 7 system?,90.46670166287153,1,2024-12-22 16:13:58.924140,user_3992,1,investment
How can I make $1000 in 30 days with this double your money strategy?,82.8237747545758,1,2024-11-13 16:13:58.924154,user_7775,2,investment
Is this quick money investment that promises 90% returns legitimate?,77.32831851812652,1,2025-07-18 16:13:58.924168,user_5544,3,investment
Is $5000 trading bot that guarantees 30% profit real?,70.8167503980144,1,2024-12-21 16:13:58.924181,user_1062,0,investment
Is this $1000 investment that promises 30% returns legitimate?,81.63791422133762,1,2025-01-23 16:13:58.924194,user_2973,0,investment
Is $1000 trading bot that guarantees 7% profit real?,80.48301500707169,1,2025-08-11 16:13:58.924208,user_8230,2,investment
"Someone offered me a $5000 opportunity, should I invest?",79.13999827209975,1,2024-11-26 16:13:58.924225,user_7285,0,investment
Can I really earn $5000 per day with this 90 system?,78.2434875553148,1,2024-11-17 16:13:58.924239,user_3828,0,investment
"Someone offered me a $10000 opportunity, should I invest?",95.0,1,2025-04-29 16:13:58.924252,user_8585,2,investment
Can I really earn $10000 per day with this 7 system?,82.10557914075353,1,2025-09-09 16:13:58.924274,user_6517,5,investment
Can I really earn $5000 per day with this 90 system?,84.28190051664598,1,2025-06-11 16:13:58.924287,user_7362,3,investment
Is this $1000 investment that promises 7% returns legitimate?,78.53267594113063,1,2025-05-10 16:13:58.924302,user_5399,5,investment
How can I make $1000 in 7 days with this guaranteed returns strategy?,76.73013773254712,1,2025-03-02 16:13:58.924315,user_5019,5,investment
Is this quick money investment that promises 7% returns legitimate?,89.93385651261954,1,2025-05-05 16:13:58.924329,user_4063,5,investment
"Someone offered me a $10000 opportunity, should I invest?",74.73698418543599,1,2025-02-14 16:13:58.924342,user_6871,2,investment
Can I really earn $1000 per day with this 90 system?,77.33813126890655,1,2025-03-24 16:13:58.924355,user_6372,4,investment
"Someone offered me a quick money opportunity, should I invest?",90.4619186314752,1,2025-05-17 16:13:58.924371,user_2206,4,investment
Can I really earn $10000 per day with this 90 system?,80.06403244233165,1,2025-08-10 16:13:58.924387,user_2251,3,investment
How can I make $5000 in 7 days with this pump and dump strategy?,90.84958123515958,1,2025-05-15 16:13:58.924401,user_7662,3,investment
Is quick money trading bot that guarantees 7% profit real?,74.22915695142275,1,2025-06-09 16:13:58.924415,user_2791,4,investment
"Someone offered me a $1000 opportunity, should I invest?",94.88795797460085,1,2024-11-29 16:13:58.924428,user_6812,2,investment
"Someone offered me a quick money opportunity, should I invest?",94.71102585007725,1,2025-06-10 16:13:58.924444,user_8810,1,investment
Can I really earn $10000 per day with this 30 system?,93.02598568294037,1,2024-11-13 16:13:58.924457,user_4131,1,investment
Can I really earn $10000 per day with this 30 system?,93.11487568247259,1,2025-06-01 16:13:58.924471,user_1004,4,investment
How can I make quick money in 7 days with this double your money strategy?,88.77127451507869,1,2024-10-17 16:13:58.924484,user_5672,1,investment
"Someone offered me a $10000 opportunity, should I invest?",75.62505033753243,1,2025-01-24 16:13:58.924500,user_3768,4,investment
"Someone offered me a quick money opportunity, should I invest?",74.5941462887803,1,2025-08-01 16:13:58.924514,user_3807,1,investment
Is $5000 trading bot that guarantees 7% profit real?,77.15381705933679,1,2025-01-20 16:13:58.924527,user_4937,0,investment
Can I really earn $10000 per day with this 30 system?,83.9868254381922,1,2024-11-17 16:13:58.924541,user_3211,0,investment
Is this quick money investment that promises 90% returns legitimate?,79.56891377737075,1,2024-10-03 16:13:58.924556,user_8731,3,investment
Can I really earn $1000 per day with this 90 system?,73.94624218017019,1,2024-12-20 16:13:58.924569,user_5289,1,investment
"Someone offered me a $5000 opportunity, should I invest?",74.4308439335029,1,2025-03-08 16:13:58.924583,user_4588,0,investment
Is this $10000 investment that promises 90% returns legitimate?,80.60917006798174,1,2025-08-04 16:13:58.924596,user_2030,1,investment
Is this $5000 investment that promises 7% returns legitimate?,94.52108842222144,1,2024-10-19 16:13:58.924610,user_8020,1,investment
Can I really earn $1000 per day with this 90 system?,73.65827756478114,1,2025-08-12 16:13:58.924623,user_9672,0,investment
Is this $10000 investment that promises 90% returns legitimate?,93.1433981977799,1,2025-02-16 16:13:58.924637,user_6651,1,investment
How can I make $5000 in 7 days with this pump and dump strategy?,83.58572352619403,1,2024-10-04 16:13:58.924652,user_3577,4,investment
Is $5000 trading bot that guarantees 7% profit real?,77.45161854413264,1,2025-09-10 16:13:58.924666,user_3376,1,investment
Is this $1000 investment that promises 7% returns legitimate?,74.91616026135111,1,2025-06-22 16:13:58.924679,user_5278,3,investment
How can I make $1000 in 90 days with this passive income strategy?,88.80547223021489,1,2025-07-13 16:13:58.924693,user_2119,5,investment
How can I make $5000 in 90 days with this forex robot strategy?,81.44626596764202,1,2025-04-10 16:13:58.924709,user_6301,3,investment
Can I really earn $1000 per day with this 7 system?,81.0841729227057,1,2025-03-13 16:13:58.924724,user_1981,4,investment
"Someone offered me a $10000 opportunity, should I invest?",81.50677585724056,1,2025-06-30 16:13:58.924738,user_2049,4,investment
Can I really earn $10000 per day with this 30 system?,72.25712586434724,1,2025-08-07 16:13:58.924751,user_8839,1,investment
Can I really earn quick money per day with this 30 system?,91.6821276929614,1,2025-03-09 16:13:58.924764,user_4730,3,investment
Is $5000 trading bot that guarantees 90% profit real?,61.998552553488125,1,2025-04-26 16:13:58.924780,user_7459,1,investment
How can I make $1000 in 90 days with this risk-free strategy?,84.43350802646262,1,2025-08-23 16:13:58.924793,user_8427,1,investment
"Someone offered me a quick money opportunity, should I invest?",78.32813923684105,1,2025-09-14 16:13:58.924807,user_6362,1,investment
Is this $10000 investment that promises 90% returns legitimate?,71.37037896594512,1,2024-11-29 16:13:58.924819,user_3159,3,investment
Can I really earn $5000 per day with this 30 system?,66.79904355186153,1,2025-04-24 16:13:58.924833,user_5026,5,investment
Is this $10000 investment that promises 90% returns legitimate?,91.15849423598686,1,2024-11-25 16:13:58.924846,user_6531,2,investment
"Someone offered me a $10000 opportunity, should I invest?",84.82219921985418,1,2024-09-25 16:13:58.924859,user_8268,1,investment
Is quick money trading bot that guarantees 30% profit real?,81.37299514105017,1,2025-06-29 16:13:58.924872,user_1778,3,investment
Is this $10000 investment that promises 7% returns legitimate?,94.40692142554171,1,2024-12-31 16:13:58.924885,user_1948,5,investment
"Someone offered me a $5000 opportunity, should I invest?",74.63493272129614,1,2024-12-21 16:13:58.924898,user_8956,0,investment
Can I really earn $1000 per day with this 30 system?,70.57952609713394,1,2025-07-27 16:13:58.924911,user_2993,0,investment
Can I really earn $1000 per day with this 30 system?,76.45787315335956,1,2025-06-10 16:13:58.924925,user_1764,4,investment
Is quick money trading bot that guarantees 90% profit real?,68.1897475284575,1,2024-12-09 16:13:58.924939,user_1640,3,investment
Is $5000 trading bot that guarantees 7% profit real?,70.36238216096406,1,2025-03-17 16:13:58.924952,user_6449,2,investment
"Someone offered me a quick money opportunity, should I invest?",80.91005964423168,1,2025-02-19 16:13:58.924965,user_1615,5,investment
Is this $1000 investment that promises 30% returns legitimate?,74.48771014288103,1,2025-07-04 16:13:58.924981,user_5701,4,investment
Is this $1000 investment that promises 7% returns legitimate?,80.20572116005565,1,2024-11-26 16:13:58.924994,user_6677,2,investment
Is $5000 trading bot that guarantees 90% profit real?,95.0,1,2025-07-01 16:13:58.925008,user_8194,1,investment
How can I make $10000 in 7 days with this get rich quick strategy?,95.0,1,2025-05-17 16:13:58.925021,user_9696,0,investment
Is this $5000 investment that promises 90% returns legitimate?,95.0,1,2025-05-21 16:13:58.925037,user_9602,0,investment
Is $1000 trading bot that guarantees 7% profit real?,79.39994712654294,1,2024-12-01 16:13:58.925051,user_4057,0,investment
"Someone offered me a $5000 opportunity, should I invest?",88.92260633589939,1,2025-02-28 16:13:58.925064,user_7905,0,investment
Is this $10000 investment that promises 30% returns legitimate?,75.1196413240058,1,2025-04-08 16:13:58.925078,user_1691,5,investment
"Someone offered me a $1000 opportunity, should I invest?",69.42423184221043,1,2025-02-18 16:13:58.925091,user_2316,4,investment
Can I really earn quick money per day with this 7 system?,90.02586016568416,1,2024-11-03 16:13:58.925105,user_3601,5,investment
How can I make $1000 in 30 days with this insider trading strategy?,79.72220655786441,1,2025-06-02 16:13:58.925119,user_8451,3,investment
How can I make $5000 in 7 days with this passive income strategy?,77.52121170219368,1,2025-07-09 16:13:58.925132,user_6903,5,investment
Can I really earn $5000 per day with this 7 system?,79.82088397070216,1,2024-09-25 16:13:58.925145,user_2465,3,investment
Is $10000 trading bot that guarantees 90% profit real?,80.40160135380711,1,2024-11-12 16:13:58.925161,user_1159,0,investment
How can I make $10000 in 7 days with this no experience needed strategy?,67.39905293438001,1,2024-12-16 16:13:58.925174,user_2055,0,investment
Is this $5000 investment that promises 90% returns legitimate?,70.92116055944139,1,2024-12-28 16:13:58.925186,user_9835,5,investment
Is this $1000 investment that promises 90% returns legitimate?,89.14232755935384,1,2025-04-14 16:13:58.925200,user_9220,5,investment
How can I make quick money in 7 days with this network marketing strategy?,85.4312304467502,1,2025-01-13 16:13:58.925213,user_7713,4,investment
Is this $1000 investment that promises 30% returns legitimate?,64.18200944693878,1,2025-03-03 16:13:58.925227,user_1507,1,investment
"Someone offered me a quick money opportunity, should I invest?",95.0,1,2024-10-03 16:13:58.925241,user_5788,2,investment
"Someone offered me a quick money opportunity, should I invest?",80.90770171639197,1,2025-04-18 16:13:58.925254,user_4401,4,investment
"Someone offered me a quick money opportunity, should I invest?",73.9612329632928,1,2025-01-06 16:13:58.925267,user_9967,5,investment
Is $1000 trading bot that guarantees 30% profit real?,71.48673636036692,1,2025-06-12 16:13:58.925280,user_3507,1,investment
How can I make $1000 in 7 days with this work from home strategy?,81.08851246565048,1,2025-08-17 16:13:58.925293,user_7542,3,investment
"Someone offered me a $5000 opportunity, should I invest?",85.62210226854594,1,2025-08-31 16:13:58.925309,user_5499,4,investment
Can I really earn $10000 per day with this 7 system?,87.09516897752415,1,2024-09-16 16:13:58.925323,user_4134,2,investment
"Someone offered me a $5000 opportunity, should I invest?",70.9664044164053,1,2025-05-24 16:13:58.925336,user_5362,1,investment
Can I really earn $5000 per day with this 90 system?,95.0,1,2025-02-26 16:13:58.925349,user_4590,3,investment
"Someone offered me a $1000 opportunity, should I invest?",71.56349009942197,1,2024-11-08 16:13:58.925365,user_4170,1,investment
Can I really earn $10000 per day with this 90 system?,95.0,1,2025-02-07 16:13:58.925379,user_2093,0,investment
Is $10000 trading bot that guarantees 7% profit real?,87.34593304329847,1,2025-04-23 16:13:58.925392,user_3492,2,investment
Can I really earn $10000 per day with this 90 system?,91.98198832592135,1,2024-11-26 16:13:58.925405,user_1272,4,investment
Is quick money trading bot that guarantees 90% profit real?,84.57706986970742,1,2025-01-04 16:13:58.925419,user_7426,1,investment
Can I really earn $1000 per day with this 90 system?,85.21911052548275,1,2025-07-14 16:13:58.925432,user_1546,4,investment
Is quick money trading bot that guarantees 7% profit real?,87.58065244889606,1,2025-07-16 16:13:58.925446,user_4171,4,investment
Is this quick money investment that promises 7% returns legitimate?,95.0,1,2024-09-23 16:13:58.925460,user_4407,4,investment
Is quick money trading bot that guarantees 7% profit real?,95.0,1,2025-05-31 16:13:58.925473,user_4263,1,investment
Can I really earn $5000 per day with this 30 system?,73.42245137969604,1,2025-06-07 16:13:58.925487,user_3468,3,investment
Is $10000 trading bot that guarantees 7% profit real?,83.09752950787654,1,2025-08-13 16:13:58.925500,user_4865,0,investment
Is $5000 trading bot that guarantees 30% profit real?,83.43172775526308,1,2025-06-20 16:13:58.925513,user_6783,1,investment
Can I really earn $10000 per day with this 7 system?,76.54397537674352,1,2025-02-28 16:13:58.925525,user_5619,3,investment
Is this $10000 investment that promises 7% returns legitimate?,70.5388090389828,1,2025-08-22 16:13:58.925544,user_6327,1,investment
Is $5000 trading bot that guarantees 7% profit real?,81.34815859895072,1,2024-09-26 16:13:58.925558,user_8845,3,investment
Can I really earn $10000 per day with this 30 system?,88.82340427590458,1,2025-04-16 16:13:58.925571,user_2082,4,investment
Can I really earn quick money per day with this 7 system?,66.33979069650731,1,2024-10-28 16:13:58.925587,user_4005,4,investment
Is $5000 trading bot that guarantees 7% profit real?,76.96625408505595,1,2024-12-03 16:13:58.925603,user_5989,1,investment
Is $1000 trading bot that guarantees 30% profit real?,80.27652522545883,1,2024-11-30 16:13:58.925623,user_8436,4,investment
How can I make quick money in 30 days with this cryptocurrency scam strategy?,78.63465842677728,1,2025-01-07 16:13:58.925637,user_1910,3,investment
Can I really earn $10000 per day with this 30 system?,60.650288756917924,1,2024-11-04 16:13:58.925651,user_4161,2,investment
Can I really earn $5000 per day with this 90 system?,89.26164506286108,1,2025-02-02 16:13:58.925664,user_7864,1,investment
Is this $1000 investment that promises 90% returns legitimate?,60.0,1,2025-02-17 16:13:58.925678,user_7710,2,investment
Can I really earn $10000 per day with this 7 system?,64.14329846900932,1,2024-10-26 16:13:58.925691,user_6425,4,investment
"Someone offered me a $5000 opportunity, should I invest?",69.48146459721067,1,2024-12-24 16:13:58.925704,user_9799,2,investment
How can I make $5000 in 90 days with this investment opportunity strategy?,83.78531404276029,1,2025-01-17 16:13:58.925719,user_9673,0,investment
Can I really earn $5000 per day with this 90 system?,68.33208235317066,1,2025-02-18 16:13:58.925732,user_7729,2,investment
How can I make $5000 in 7 days with this mlm strategy?,79.71056524707497,1,2025-05-30 16:13:58.925745,user_6069,4,investment
"Someone offered me a $10000 opportunity, should I invest?",95.0,1,2024-12-03 16:13:58.925758,user_2000,1,investment
"Someone offered me a $5000 opportunity, should I invest?",77.97708935461425,1,2025-06-20 16:13:58.925772,user_9166,2,investment
"Someone offered me a $1000 opportunity, should I invest?",75.69599461429458,1,2025-01-29 16:13:58.925785,user_9518,0,investment
Is quick money trading bot that guarantees 30% profit real?,77.41572202282926,1,2025-09-11 16:13:58.925798,user_6650,5,investment
Is this $5000 investment that promises 90% returns legitimate?,95.0,1,2025-01-20 16:13:58.925814,user_6081,1,investment
Can I really earn $10000 per day with this 90 system?,79.26214929572546,1,2025-07-01 16:13:58.925827,user_2211,1,investment
"Someone offered me a $10000 opportunity, should I invest?",84.2321551500352,1,2025-02-27 16:13:58.925843,user_4532,1,investment
Is this $1000 investment that promises 90% returns legitimate?,81.27067402809956,1,2024-10-06 16:13:58.925857,user_7407,1,investment
Is quick money trading bot that guarantees 90% profit real?,81.2119706341159,1,2025-05-16 16:13:58.925871,user_6926,3,investment
Can I really earn quick money per day with this 90 system?,60.0,1,2025-03-16 16:13:58.925884,user_4065,1,investment
Is this quick money investment that promises 7% returns legitimate?,91.89766165504366,1,2025-02-13 16:13:58.925898,user_5848,5,investment
